Neighbourhood,Neighbourhood Id,Part-Time Employment,Drug Arrests,Low Income Population,Total Population,Healthy Food Index,LowIncPop/TotalPop,NormalPop,NormalLowIncome,NormalPartTime,NormalDrugArrest,norm_low/total
Milliken,130,"4,296.00",12.00,"8,330.00","26,572.00",25.25,0.313487882,0.34,0.52540107,0.151315077,0.068965517,0.36585441
Rouge,131,"3,356.00",20.00,"7,770.00","46,496.00",21.95,0.167111149,0.67,0.487967914,0.117400873,0.114942529,0.162071419
Malvern,132,"1,745.00",14.00,"11,490.00","43,794.00",38.63,0.262364707,0.63,0.736631016,0.0592777,0.08045977,0.294681669
Centennial Scarborough,133,331.00,1.00,"1,330.00","13,362.00",9.35,0.099535998,0.11,0.057486631,0.008262077,0.005747126,0.067994538
Highland Creek,134,540.00,6.00,"2,120.00","12,494.00",0.63,0.169681447,0.10,0.110294118,0.015802576,0.034482759,0.165649741
Morningside,135,"1,467.00",14.00,"4,580.00","17,455.00",6.67,0.262389,0.18,0.27473262,0.049247754,0.08045977,0.294715489
West Hill,136,"1,441.00",54.00,"7,640.00","27,392.00",28.06,0.278913551,0.35,0.479278075,0.048309702,0.310344828,0.317720664
Woburn,137,"5,041.00",39.00,"15,430.00","53,485.00",27.73,0.288492101,0.79,1,0.178193888,0.224137931,0.331055744
Eglinton East,138,986.00,26.00,"6,290.00","22,776.00",34.79,0.276167896,0.27,0.389037433,0.031893784,0.149425287,0.313898213
Scarborough Village,139,714.00,28.00,"5,500.00","16,724.00",35.48,0.328868692,0.17,0.336229947,0.022080312,0.16091954,0.38726729
Guildwood,140,364.00,4.00,790.00,"9,917.00",15.57,0.079661188,0.06,0.021390374,0.009452682,0.022988506,0.040325194
